FLORIDA DEPARTMENT OF EDUCATION,,,,,,,,,,,,,,,,,,
SCHOOL MEMBERSHIP BY GRADE,,,,,,,,,,,,,,,,,,
SCHOOL YEAR 2012-13,,,,,,,,,,,,,,,,,,
SURVEY 2 DATA as of 11/25/12 ,,,,,,,,,,,,,,,,,,
A blank cell indicates no population for the subgroup.,,,,,,,,,,,,,,,,,,
# cells indicate subgroup population fewer than 10,,,,,,,,,,,,,,,,,,
DISTRICT #,DISTRICT,SCHOOL #,SCHOOL,PK,KG,1ST,2ND,3RD,4TH,5TH,6TH,7TH,8TH,9TH,10TH,11TH,12TH,TOTAL MEMBERSHIP
5,BREVARD,121,SOUTH LAKE ELEMENTARY SCHOOL,28,94,97,64,55,58,55,56, , , , , , ,507
5,BREVARD,141,ANDREW JACKSON MIDDLE SCHOOL,, , , , , , , ,255,313, , , , ,568
5,BREVARD,151,IMPERIAL ESTATES ELEM. SCHOOL,#,89,115,74,86,75,97,99, , , , , , ,641
5,BREVARD,161,ASTRONAUT HIGH SCHOOL,, , , , , , , , , ,329,310,248,240,"1,127"
5,BREVARD,181,PINEWOOD ELEMENTARY SCHOOL,33,53,51,60,45,46,43,48, , , , , , ,379
5,BREVARD,191,CHALLENGER 7 ELEMENTARY SCHOOL,10,70,66,58,75,70,69,68, , , , , , ,486
5,BREVARD,201,ATLANTIS ELEMENTARY SCHOOL,#,97,83,80,90,78,85,94, , , , , , ,614
5,BREVARD,301,ENTERPRISE ELEMENTARY SCHOOL,#,66,86,85,85,81,99,100, , , , , , ,607
5,BREVARD,302,SPACE COAST JR/SR HIGH SCHOOL,, , , , , , , ,289,266,318,238,191,251,"1,553"
5,BREVARD,1002,CENTER FOR DRUG FREE LIVING,, , , , , ,#,#,#,14,#,#, , ,26
5,BREVARD,1011,ROCKLEDGE SENIOR HIGH SCHOOL,, , , , , , , , , ,410,335,313,319,"1,377"
5,BREVARD,1014,BREVARD COUNTY JAIL COMPLEX,, , , , , , , , , ,#,#,#, ,#
5,BREVARD,1016,NORTH AREA ALTERNATIVE LEARNIN,, , , , , ,#,#,10,#,11,#,#, ,30
5,BREVARD,1017,CENTRAL AREA ALTERNATIVE LEARN,, , , , , , ,#,#,11,16,#,#,#,54
5,BREVARD,1018,SOUTH AREA ALTERNATIVE LEARNIN,, , , , , , ,#,#,16,14,11,#,#,61
5,BREVARD,1020,OUTWARD BOUND,, , , , , , , ,#,#,#,#, , ,18
5,BREVARD,1021,ESE INFANTS AND TODDLERS,287, , ,#,#, , , , , , , ,#, ,290
5,BREVARD,1025,BREVARD COUNTY JUV.DET.CTR.,, , , , , , , ,#,#,#,#,#,#,14
5,BREVARD,1026,FRANCES WALKER HALFWAY HOUSE,, , , , , , , , ,#,#,#,#,#,18
5,BREVARD,1027,SPACE COAST MARINE INSTITUTE,, , , , , , , ,#,#,10,#,#, ,20
5,BREVARD,1028,DEVEREUX HOSPITAL,, , , ,#,#,#,#,#,#,#,#,#,#,36
5,BREVARD,1029,RIVERDALE COUNTRY DAY SCHOOL,,#,#,#,#,#,#,15,10,17,13,12,12,12,114
5,BREVARD,1031,CLEARLAKE MIDDLE SCHOOL,, , , , , , , ,258,212, , , , ,470
5,BREVARD,1032,HORACE MANN ACADEMY,, ,#,#,#,#,#,14,13,18,21,10,#,12,119
5,BREVARD,1041,CAMBRIDGE ELEM MAGNET SCHOOL,70,103,82,70,69,59,63,67, , , , , , ,583
5,BREVARD,1051,ENDEAVOUR ELEMENTARY MAGNET,74,172,139,103,107,91,76,81, , , , , , ,843
5,BREVARD,1071,GOLFVIEW ELEMENTARY MAGNET SCH,55,93,85,86,80,71,88,82, , , , , , ,640
5,BREVARD,1073,PROJECT SEARCH,, , , , , , , , , , , , ,28,28
5,BREVARD,1081,RONALD MCNAIR MAGNET MIDDLE,, , , , , , , ,302,261, , , , ,563
5,BREVARD,1091,FAIRGLEN ELEMENTARY SCHOOL,21,84,109,85,89,91,100,101, , , , , , ,680
5,BREVARD,1101,JOHN F. KENNEDY MIDDLE SCHOOL,, , , , , , , ,317,326, , , , ,643
5,BREVARD,1121,COCOA HIGH SCHOOL,31, , , , , , , , , ,303,218,186,228,966
5,BREVARD,1131,SATURN ELEMENTARY SCHOOL,65,128,117,124,99,106,109,80, , , , , , ,828
5,BREVARD,1141,HANS CHRISTIAN ANDERSEN ELEMEN,#,113,100,121,111,113,114,98, , , , , , ,771
5,BREVARD,1151,RALPH M WILLIAMS JR ELEMENTARY,19,80,81,77,108,86,81,71, , , , , , ,603
5,BREVARD,1161,MANATEE ELEMENTARY,#,121,135,149,126,138,141,125, , , , , , ,938
5,BREVARD,1171,VIERA HIGH SCHOOL,19, , , , , , , , , ,457,526,516,504,"2,022"
5,BREVARD,2011,MELBOURNE SENIOR HIGH SCHOOL,, , , , , , , , , ,500,541,443,460,"1,944"
5,BREVARD,2021,PALM BAY SENIOR HIGH SCHOOL,36, , , , , , , , , ,405,437,350,359,"1,587"
5,BREVARD,2031,MEADOWLANE INTERMEDIATE ELEMEN,, , , ,215,203,218,264, , , , , , ,900
5,BREVARD,2041,MEADOWLANE PRIMARY ELEMENTARY,#,281,217,234, , , , , , , , , , ,737
5,BREVARD,2042,W. MELBOURNE ELEMENTARY SCHOOL,,72,72,72,72,88,87,82, , , , , , ,545
5,BREVARD,2051,UNIVERSITY PARK ELEMENTARY SCH,54,103,90,74,89,65,74,79, , , , , , ,628
5,BREVARD,2061,PORT MALABAR ELEMENTARY SCHOOL,51,105,114,91,99,99,101,93, , , , , , ,753
5,BREVARD,2071,STONE MIDDLE SCHOOL,, , , , , , , ,422,379, , , , ,801
5,BREVARD,2081,PALM BAY ELEMENTARY SCHOOL,72,118,113,112,117,120,107,87, , , , , , ,846
5,BREVARD,2111,LOCKMAR ELEMENTARY SCHOOL,18,126,107,95,105,107,118,103,#, , , , , ,781
