"Student Membership by Grade, 2009-10",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
DISTRICT NUMBER,DISTRICT NAME,SCHOOL NUMBER,SCHOOL NAME,PK,KG,1ST,2ND,3RD,4TH,5TH,6TH,7TH,8TH,9TH,10TH,11TH,12TH,MEMBERSHIP
5,BREVARD,2111,LOCKMAR ELEMENTARY SCHOOL,19,111,114,118,114,110,100,101,0,0,0,0,0,0,787
5,BREVARD,2121,"JOHN F. TURNER, SR. ELEMENTARY",63,92,85,105,89,93,82,87,0,0,0,0,0,0,696
5,BREVARD,2122,SOUTHWEST MIDDLE SCHOOL,0,0,0,0,0,0,0,0,684,668,0,0,0,0,"1,352"
5,BREVARD,2131,COLUMBIA ELEMENTARY SCHOOL,25,73,58,82,84,62,78,88,0,0,0,0,0,0,550
5,BREVARD,2151,DISCOVERY ELEMENTARY SCHOOL,10,113,126,129,147,137,133,144,0,0,0,0,0,0,939
5,BREVARD,2161,CHRISTA MCAULIFFE ELEM. SCHOOL,30,111,100,118,114,142,110,99,0,0,0,0,0,0,824
5,BREVARD,2171,RIVIERA ELEMENTARY SCHOOL,64,101,69,65,70,63,74,68,0,0,0,0,0,0,574
5,BREVARD,2191,JUPITER ELEMENTARY SCHOOL,70,115,118,102,104,87,112,103,0,0,0,0,0,0,811
5,BREVARD,2211,BAYSIDE HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,507,494,586,607,"2,194"
5,BREVARD,2212,WESTSIDE ELEMENTARY SCHOOL,4,121,123,112,125,112,131,111,0,0,0,0,0,0,839
5,BREVARD,2221,SUNRISE ELEMENTARY SCHOOL,22,141,116,102,109,131,115,110,0,0,0,0,0,0,846
5,BREVARD,2311,HERITAGE HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,640,292,0,0,932
5,BREVARD,3011,EAU GALLIE HIGH SCHOOL,28,0,0,0,0,0,0,0,0,0,509,435,341,379,"1,692"
5,BREVARD,3021,CENTRAL MIDDLE SCHOOL,0,0,0,0,0,0,0,0,479,490,0,0,0,0,969
5,BREVARD,3031,LYNDON B. JOHNSON MIDDLE SCHL,0,0,0,0,0,0,0,0,423,471,0,0,0,0,894
5,BREVARD,3041,SHERWOOD ELEMENTARY SCHOOL,3,80,89,70,77,94,92,89,0,0,0,0,0,0,594
5,BREVARD,3061,HARBOR CITY ELEMENTARY SCHOOL,21,64,51,79,67,60,63,66,0,0,0,0,0,0,471
5,BREVARD,3071,SABAL ELEMENTARY SCHOOL,26,76,86,67,73,90,76,79,0,0,0,0,0,0,573
5,BREVARD,3091,CROTON ELEMENTARY SCHOOL,19,88,67,66,64,64,77,70,0,0,0,0,0,0,515
5,BREVARD,3101,ROY ALLEN ELEMENTARY SCHOOL,0,98,97,88,97,91,105,89,0,0,0,0,0,0,665
5,BREVARD,3121,SUNTREE ELEMENTARY SCHOOL,10,118,92,112,120,148,115,112,0,0,0,0,0,0,827
